cdid,item_name_kr,stat_code,time,data_value,unit
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2019Q1,24808.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2019Q2,27045.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2019Q3,28193.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2019Q4,28058.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2020Q1,30777.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2020Q2,33753.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2020Q3,33177.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2020Q4,35628.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2021Q1,39711.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2021Q2,40841.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2021Q3,34824.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2021Q4,37411.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2022Q1,36752.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2022Q2,39154.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2022Q3,44452.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2022Q4,47291.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2023Q1,45407.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2023Q2,39877.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2023Q3,38175.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2023Q4,36536.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2024Q1,39810.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2024Q2,46981.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2024Q3,47022.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2024Q4,50195.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2025Q1,45807.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2025Q2,51845.0,GBP million
IKBD,서비스무역(S),UK_BoP_Table_A_sub1,2025Q3,53531.0,GBP million
